published,caption,views,reach,saved,shares,comments,likes,total_interactions,permalink,media_id
2026-07-30T16:35:18+0000,#sabahkoşusu #defnegünlüğü #gündogumu #boğaz #yaşamdan,65,48,0,0,1,3,4,https://www.instagram.com/reel/DbbIQMhoHHn/,18070548440735627
2026-07-30T10:12:04+0000,#defnegünlüğü #çizim #üretmekgüzel  #illustration #cizer,,,,,,,,https://www.instagram.com/p/DbacX57o7Lt/,17901017358490042
2026-07-29T13:49:32+0000,#defnegünlüğü #çizim #üretmekgüzel #illüstrasyon #cizer,56,29,0,0,1,5,6,https://www.instagram.com/reel/DbYQir-oAFO/,18008222264938790
2026-07-28T18:30:16+0000,#balkon #evhayatı #akşam #gunbatimi #sehirhayati,191,135,2,0,1,7,11,https://www.instagram.com/reel/DbWL0mvoGOb/,18086921123448153
2026-07-27T15:28:06+0000,#istanbul #günlükhayat #defnegünlüğü #domatesçorbasi #yemek,161,124,0,0,1,6,7,https://www.instagram.com/reel/DbTSR0rII-F/,18105474593122991
2026-07-25T15:09:38+0000,#günlükhayat #istanbul #cumartesiakşamı #yağmur #yazyağmuru☔️,2597,2305,0,1,2,7,12,https://www.instagram.com/reel/DbOGfNDoGq0/,18102649712179786
2026-07-25T11:05:31+0000,#parkta #sessizlik #okumasaati #anıyaşa #kitap,186,148,0,0,1,5,7,https://www.instagram.com/reel/DbNqGguoBjQ/,18099612959353088
2026-07-24T13:35:10+0000,#kedi #istanbul #sokakkedileri #günlükhayat #sessizlik,182,133,0,2,0,7,9,https://www.instagram.com/reel/DbLWtiSs2PI/,17894089023579029
2026-07-23T19:16:58+0000,#defne #istanbul #filmlook #quietmoments💙 #aksamüstü,155,121,0,0,0,6,6,https://www.instagram.com/reel/DbJZNMoAcd4/,18188940997385069
2026-07-23T11:57:09+0000,#istanbul #yürüyüş #vapur #beşiktaş #mutluluk,161,134,0,0,0,5,5,https://www.instagram.com/reel/DbIm6YbI62d/,17930005944360826
2026-07-22T17:31:30+0000,#rain #summerrain☔️ #rainyday #beautifulgirl❤️ #beautifulgirl,129,83,0,2,2,4,8,https://www.instagram.com/reel/DbGoUWBoglB/,17917925682202742
2026-07-22T12:30:55+0000,Bugün ofisim biraz daha mavi. 🌊,270,227,0,0,2,7,9,https://www.instagram.com/reel/DbGGB0uoSR0/,18161224855413936
2026-07-21T22:27:03+0000,,113,90,0,0,1,4,5,https://www.instagram.com/reel/DbEla_lIVmh/,17881584939612394
2026-07-21T20:35:24+0000,Bazı akşamlar planlandığından daha güzel geçiyor. 🤍,162,125,0,0,0,4,4,https://www.instagram.com/reel/DbEYqSJItv7/,18122235376700338
2026-07-21T19:37:19+0000,,171,121,0,0,1,5,7,https://www.instagram.com/reel/DbER9UHoTCS/,17954149328999933
2026-07-21T18:09:13+0000,,273,166,0,13,1,8,22,https://www.instagram.com/reel/DbEH97LK5dw/,17912835126425094
2026-07-21T11:51:09+0000,,216,146,0,2,1,6,9,https://www.instagram.com/reel/DbDctZYIUYb/,18090465119100256
2026-07-21T07:51:53+0000,,262,187,0,0,1,5,6,https://www.instagram.com/reel/DbDBU2GIrdk/,18003761195966813
2026-07-21T07:34:53+0000,   başlıyoruz ☀️,,,,,,,,https://www.instagram.com/p/DbC_XDcIgIM/,17976071397098285
2026-07-20T23:33:59+0000,,254,186,1,2,0,12,15,https://www.instagram.com/reel/DbCIVJzoic2/,18602499157052570
2026-07-20T23:20:55+0000,Bugünlük bu kadar,,,,,,,,https://www.instagram.com/p/DbCG02io0M_/,18056002829774388
2026-07-20T21:43:50+0000,Bugün uzun oldu. ,,,,,,,,https://www.instagram.com/p/DbB7pJhIv5G/,18605805346046196
